OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6185385,North West,1240093,Outram St,65711,Outram St,Hay St,Ord St,I,,3,0.00221839248047915
6185386,North West,1240096,Kings Park Rd,65721,Kings Park Rd,Fraser Av & Malcolm St,Bagot Rd & Thomas St,I,,1,0.0114708232078161
6185387,North West,1240100,Malcolm St,65732,Malcolm St,Elder St & St Georges Tce,Fraser Av & Kings Park Rd,I,,1,0.00495383584479409
6185388,North West,1250074,Flinders St,66504,Flinders St,Morley Dr,Royal St,I,,3,0.00762653288551602
6185389,North West,1250074,Flinders St,66505,Flinders St,Royal St,Blythe Av,I,,4,0.00484519511866767
6185390,North West,1250074,Flinders St,66506,"Flinders St,Wiluna St",Blythe Av,Wanneroo Rd & Charles St,I,,5,0.0122089829820968
6185391,North West,1250077,Grand Prom,66516,Grand Prom,Morley Dr,Alexander Dr,I,,1,0.00877859905133926
6185392,North West,1250077,Grand Prom,66517,Grand Prom,Alexander Dr,Woodrow Av,I,,2,0.00787491961328875
6185393,North West,1250077,Grand Prom,66518,Grand Prom,Woodrow Av,Grand Prom & Walter Rd West,I,,3,0.00863570502109462
6185394,North West,1250080,Coode St,66529,Coode St,Victoria St,Coode St & Walter Rd West,I,,1,0.00512431833077149
6185395,North West,1250085,Blythe Av,66540,"Blythe Av,Woodrow Av",Flinders St,Alexander Dr,I,,1,0.0185636150609855
6185396,North West,1250083,Woodrow Av,66541,Woodrow Av,Alexander Dr,Grand Prom,I,,1,0.00823845294561972
6185397,North West,1250088,Hutton St,66562,Hutton St,Royal St & Main St,Hamilton St,I,,1,0.00555323974007406
6185398,North West,1250088,Hutton St,66563,Hutton St,Hamilton St,Hutton St on to Mitchell Fwy (Southbound) & Mitchell Fwy (Southbound) off to Hutton St,I,,2,0.00323153081151798
6185399,North West,1250088,Hutton St,66564,Hutton St,Hutton St on to Mitchell Fwy (Southbound) & Mitchell Fwy (Southbound) off to Hutton St,Mitchell Fwy (Northbound) off to Hutton St & Hutton St on to Mitchell Fwy (Northbound),I,,3,0.00120800771782982
6185400,North West,1250088,Hutton St,66565,Hutton St,Mitchell Fwy (Northbound) off to Hutton St & Hutton St on to Mitchell Fwy (Northbound),Hector St West,I,,4,0.00199207636799914
6185401,North West,1250088,Hutton St,66566,Hutton St,Hector St West,Guthrie St,I,,5,0.00399209198516608
6185402,North West,1250088,Hutton St,66567,Hutton St,Guthrie St,Scarborough Beach Rd,I,,6,0.00438643190727152
6185403,North West,1250089,Cape St,66578,Cape St,Hutton St on to Mitchell Fwy (Southbound),Main St,I,,1,0.00661577565594051
6185404,North West,1250089,Cape St,66579,Cape St,Main St,Wanneroo Rd,I,,2,0.0146281128318082
6185405,North West,1250089,Cape St,66580,Cape St,Wanneroo Rd,Flinders St,I,,3,0.00649362219824481
6185406,South West,1180013,High St,64621,High St,Stirling Hwy & High St,East St & Swanbourne St,I,,1,0.00622921254385866
6185407,South West,1180013,High St,64622,High St,East St & Swanbourne St,Ord St,I,,2,0.00322884999891026
6185408,South West,1180013,High St,64623,High St,Ord St,Parry St,I,,3,0.00385346635121475
6185409,South West,1180013,High St,64624,High St,Parry St,Queen St,I,,4,0.00236447301444314
6185410,South West,1180019,Douro Rd,64634,Douro Rd,Hampton Rd,South Tce,I,,1,0.00619951662476365
6185411,South West,1180021,South St,64644,South St,Curedale St & South St,Hampton Rd,I,,1,0.00714236542949684
6185412,South West,1180021,South St,64645,South St,Hampton Rd,South Tce,I,,2,0.00458156942393071
