osmid,risk_lvl
273421276,0
6241597000,0
273421271,0
273421277,2
273421272,0
273420275,2
271355109,2
273418695,0
"[6241597031, 6241597018, 6241597032, 6241597012, 6241597014, 6241597015, 6241597019, 6241597023]",0
273418755,0
273113840,0
273419336,2
273113729,1
"[273113180, 6241576385]",1
273099902,1
273420213,1
271355119,1
273100390,1
273100470,1
273100427,1
"[271355126, 6236387729]",1
273099708,1
11143993416,1
273099850,1
"[271377482, 1860896496, 271377500, 6030630048, 6030630040, 6030630049]",2
"[4191083520, 277958842]",2
"[277951445, 6030630038, 6030630032, 1860896517, 6030630039]",1
"[277959613, 6688262567]",1
271377483,1
4826879416,1
277965111,1
277966088,0
4826879531,0
4826879536,0
277964747,2
277965106,1
4656434972,1
277966082,1
271377484,0
"[6228932561, 6228932564]",2
3094076605,1
3094076603,1
1502689374,1
1499691904,1
3094076627,1
"[4306677788, 4306683993, 4306677778, 4306677786, 4306683994, 4306683998]",1
3094076613,0
271377489,1
4907579567,1
277951635,1
6030630211,1
4907579568,1
"[6200312223, 1868019313, 1868019320, 1868019318, 1868019323, 1868019330, 1868019336, 1868019324, 1868019335]",1
1502684379,3
"[4907579544, 4907579530, 4907579532, 4907579540, 4907579534, 4907579535, 6030630028, 6030630063]",1
277952486,1
"[277958997, 4907577406, 4907577411]",1
1860802219,1
1860802206,1
271378508,1
271378627,1
271378865,0
271378633,2
1860802168,0
4103896088,1
271378883,1
3777452857,1
3544809992,2
"[271379585, 271379686]",2
271379160,1
"[6229062214, 6229062213]",1
271379693,1
3544809983,1
4984226708,1
628554368,1
628553177,1
628553128,1
628553183,0
628553179,0
271379703,1
628553196,0
628553191,1
9677605210,0
628553198,1
628553205,1
628553193,1
9677605209,1
5121961665,1
